cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
4067290000141,4067290,MATRIZ,DHBYTE SOFTWARE ESPECIALISTA S/S LTDA,NAO,10000
4121834000106,4121834,MATRIZ,MACNICA DHW LTDA,NAO,21350251
4181912000168,4181912,MATRIZ,EMED TECNOLOGIA S/A,NAO,0
4246459000120,4246459,MATRIZ,BOEIRA TECNOLOGIA DA INFORMACAO LTDA,SIM,0
4340744000106,4340744,MATRIZ,TECHNORIVER INFORMATICA LTDA,SIM,10000
4348434000138,4348434,MATRIZ,USES SISTEMAS DE INFORMATICA LTDA,NAO,0
4358494000131,4358494,MATRIZ,CINQ TECHNOLOGIES LTDA,NAO,7990586
4363802000117,4363802,MATRIZ,NASCENT CONSULTORIA LTDA,NAO,10000
4410157000146,4410157,MATRIZ,PROSOFTIN CONSULTORIA E SISTEMAS LTDA,SIM,0
4432166000138,4432166,MATRIZ,ROBERTO DE SOUZA PASQUALOTTO & CIA LTDA,NAO,20000
4467799000181,4467799,MATRIZ,RODRIGO REGGIANI,NAO,0
4515887000101,4515887,MATRIZ,JAN BOCIAN JUNIOR,NAO,5000
4516228000190,4516228,MATRIZ,AQUI VANTAGENS.COM ADMINISTRACAO CARTOES DE DESCONTO E TELECOMUNICACOES LTDA,SIM,0
4543459000192,4543459,MATRIZ,BECKER E ROTH CONSULTORIA DE SISTEMAS LTDA,NAO,2000
4570566000100,4570566,MATRIZ,SEGWARE DO BRASIL LTDA,NAO,650000
4729567000154,4729567,MATRIZ,PONTOCOM SISTEMAS LTDA,NAO,0
4820891000183,4820891,MATRIZ,"S&S TECNOLOGIA, ASSESSORIA E CONSULTORIA LTDA.",NAO,0
4864355000180,4864355,MATRIZ,VIAFLOW CONSULTORIA E SISTEMAS LTDA,NAO,70000
4868871000182,4868871,MATRIZ,IASOFT CONSULTORIA E SISTEMAS LTDA,NAO,3000
4915134000193,4915134,MATRIZ,DRZ GEOTECNOLOGIA E CONSULTORIA LTDA,NAO,2000000
4962340000154,4962340,MATRIZ,CONEXA CONSULTORIA LTDA,NAO,5000
5023602000188,5023602,MATRIZ,ASSERTIVA TECH CONSULTORIA EM TI LTDA,SIM,8000
5028586000116,5028586,MATRIZ,GLOBAL CASE CONSULTORIA E ASSESSORIA LTDA,SIM,0
5031207000147,5031207,MATRIZ,ITSX - INTEGRADORA DE TECNOLOGIA E SOLUCOES LTDA,NAO,5000
5042138000177,5042138,MATRIZ,TECJUMP TECNOLOGIA EM INFORMATICA LTDA,SIM,0
5050074000156,5050074,MATRIZ,IMMEDIATE CONSULTORIA E SISTEMAS LTDA,NAO,250000
5110958000159,5110958,MATRIZ,GTI GESTAO DA TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
5138645000109,5138645,MATRIZ,M2A TECNOLOGIA E GESTAO DA INFORMACAO - EIRELI,NAO,67800
5151009000117,5151009,MATRIZ,SMART CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
5159145000153,5159145,MATRIZ,"IDDEIA COMERCIO, LOCACAO E SOLUCOES TECNOLOGICAS EIRELI",NAO,4500000
5251406000160,5251406,MATRIZ,SYTS CONSULTORIA LTDA,NAO,0
5268522000192,5268522,MATRIZ,PAINEL DIGITAL - AUDITORIA DIGITAL E TECNOLOGIA DA INFORMACAO LTDA,NAO,0
5332252000131,5332252,MATRIZ,KIONUX SOLUCOES EM INTERNET LTDA,NAO,34000
5337875000105,5337875,MATRIZ,NEOWAY TECNOLOGIA INTEGRADA ASSESSORIA E NEGOCIOS SA,NAO,113860009
5339050000111,5339050,MATRIZ,PORTO'S INFORMATICA LTDA,SIM,3000
5357530000105,5357530,MATRIZ,GLOBALWIDE TECNOLOGIA E INFORMATICA LTDA,SIM,10000
5401067000151,5401067,MATRIZ,TEIKO SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000
5422311000162,5422311,MATRIZ,KAIZENDO SOLUCOES E SISTEMAS PARA MELHORIA LTDA,SIM,240000
5448669000164,5448669,MATRIZ,MAURICIO RIBEIRO INFORMATICA LTDA,SIM,100000
5451225000188,5451225,MATRIZ,OPSERVICES TECNOLOGIA DA INFORMACAO S.A,NAO,400000
5488710000126,5488710,MATRIZ,APICE -REPRESENTACAO E INTEGRACAO DE SISTEMAS EIRELI,NAO,103000
5498853000119,5498853,MATRIZ,PEQUENA MOBILIA REPRESENTACAO COMERCIAL LTDA,NAO,5000
5531121000183,5531121,MATRIZ,INTERGATE CONSULTORIA DIGITAL LTDA,NAO,78800
5546793000162,5546793,MATRIZ,GO ON CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,600000
5550374000102,5550374,MATRIZ,DLB TECNOLOGIA LTDA,NAO,6848380
5594470000144,5594470,MATRIZ,TRAJECTA SISTEMAS DE INFORMATICA LTDA,NAO,10000
5617100000185,5617100,MATRIZ,"BUNDT CONSULTORIA, EDUCACAO & PARTICIPACOES LTDA",NAO,30000
5620370000145,5620370,MATRIZ,SUPERINTEROP SUPORTE EM INFORMATICA LTDA,NAO,20000
5694420000139,5694420,MATRIZ,IMPERIAL ASSESSORIA EMPRESARIAL LTDA,NAO,0
5809591000166,5809591,MATRIZ,BR CAPTURA - EMPRESA BRASILEIRA DE REDE DE CAPTURA S.A,NAO,200000
5834028000148,5834028,MATRIZ,K2M TECNOLOGIA LTDA,NAO,0
5895166000137,5895166,MATRIZ,FSK INFORMATICA LTDA,NAO,20000
5906225000125,5906225,MATRIZ,AUDARE INFORMATICA SS LTDA,NAO,210000
5936622000140,5936622,MATRIZ,MSLAB - LABORATORIO DE TECNOLOGIA,NAO,0
5954033000194,5954033,MATRIZ,NOTA FISCAL ELETRONICA - TECNOLOGIA DA INFORMACAO LTDA,NAO,0
5975597000103,5975597,MATRIZ,HLEBANIA & CIA. LTDA,SIM,0
5996262000171,5996262,MATRIZ,MASTER&PRO CONSULTORIA E DESENVOLVIMENTO DE PROGRAMAS LTDA,SIM,10000
6015379000190,6015379,MATRIZ,FIAPO LABS TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
6074087000128,6074087,MATRIZ,ZERO-DEFECT INFORMATICA LTDA,NAO,100000
6153856000183,6153856,MATRIZ,ISOLVE - SOLUCOES EM INFORMATICA LTDA,SIM,15000
6185897000151,6185897,MATRIZ,ATGMASTERS LTDA,NAO,10000
6277224000121,6277224,MATRIZ,EQUIPE DIGITAL TECNOLOGIA LTDA,SIM,70000
6290671000110,6290671,MATRIZ,AMBIENTE LIVRE ASSESSORIA EM SISTEMAS DE INFORMATICA LTDA,SIM,120000
6320344000164,6320344,MATRIZ,GSW SUL SOLUCOES DE INFORMATICA LTDA,NAO,50000
6867750000141,6867750,MATRIZ,ITECNOLOGYS CONSULTORIA EM SISTEMAS LTDA,SIM,300000
6913250000107,6913250,MATRIZ,A. D. TURRI TECNOLOGIA,SIM,12000
7051953000128,7051953,MATRIZ,M2V SISTEMAS LTDA,NAO,0
7052633000192,7052633,MATRIZ,TEKANN TECNOLOGIA DA INFORMACAO LTDA.,NAO,100200
7054772000155,7054772,MATRIZ,E3C TECNOLOGIA LTDA,NAO,5000
7138892000130,7138892,MATRIZ,KORBER SUPPLY CHAIN BR LTDA,NAO,1623407
7143006000167,7143006,MATRIZ,WAY2 SERVICOS DE TECNOLOGIA S.A.,NAO,1435605
7144407000131,7144407,MATRIZ,VERSUL TECNOLOGIA DE ACESSO INTELIGENTE LTDA,NAO,100000
7189783000142,7189783,MATRIZ,DATANET INFORMATIZACAO E SERVICOS LTDA.,NAO,0
7208334000102,7208334,MATRIZ,MERCADO DOS SONHOS LTDA,NAO,10000
7228485000114,7228485,MATRIZ,CWN CONSULTORIA E SERVICOS DE INFORMATICA LTDA,NAO,0
7303726000142,7303726,MATRIZ,NETMANAGEMENT INFORMATICA LTDA,NAO,1000000
7591060000175,7591060,MATRIZ,4RESULTS LTDA,NAO,580000
7592315000114,7592315,MATRIZ,NTT DATA BUSINESS SOLUTIONS - SERVICOS DE TECNOLOGIA LTDA,NAO,1434000
7672361000123,7672361,MATRIZ,FABIO L A SOTO,NAO,135000
7723137000113,7723137,MATRIZ,SLATER IT SOLUTIONS CONSULTORIA EM INFORMATICA LTDA,NAO,50000
7731452000192,7731452,MATRIZ,TYTANIO TECNOLOGIA - EIRELI,SIM,110000
7854026000146,7854026,MATRIZ,CENTRUM PROCESSAMENTO DE DADOS LTDA,SIM,2000
7896865000127,7896865,MATRIZ,DANIEL HENRIQUE ALVES,SIM,30000
7899023000129,7899023,MATRIZ,SULWORK TECNOLOGIA E SISTEMAS DE INFORMATICA LTDA,NAO,1000000
7900364000177,7900364,MATRIZ,PROGRAME SOFTWARE DESIGN E CONSULTORIA LTDA,NAO,5000
7938862000109,7938862,MATRIZ,R2 SOLUCOES DIGITAIS LTDA,NAO,1000
7941604000181,7941604,MATRIZ,MFC INFORMATICA LTDA,NAO,10000
7944196000111,7944196,MATRIZ,ACESSAR - SOLUCOES EM INFORMATICA LTDA,NAO,10000
7989117000199,7989117,MATRIZ,ADIANTI SOLUCOES EM INFORMATICA LTDA,NAO,28000
8029924000122,8029924,MATRIZ,NET1 - CONSULTORIA EM INFORMATICA E LOCACAO DE BENS - EIRELI,NAO,445000
8139576000146,8139576,MATRIZ,AGNNA DESENVOLVIMENTO DE SOFTWARE E PROJETOS LTDA,NAO,1000
8150225000136,8150225,MATRIZ,VELITI SOLUCOES LTDA,SIM,25000
8437692000141,8437692,MATRIZ,NETINSIDE INFORMATICA LTDA,NAO,2000
8452946000109,8452946,MATRIZ,CRISTIANE JAGMIN D AVILA,NAO,1000
8533856000134,8533856,MATRIZ,"B X T COMERCIO, SERVICOS, IMPORTACAO E EXPORTACAO DE SOFTWARE LTDA",NAO,80000
8541866000111,8541866,MATRIZ,BASCONERO INFORMATICA LTDA,NAO,1000
8597777000197,8597777,MATRIZ,TCB CONSULTORIA E EMPREENDIMENTOS EIRELI,NAO,110000
8637105000168,8637105,MATRIZ,VILLEROY CONSULTORIA E SERVICOS DE INFORMATICA LTDA.,SIM,5000
8640367000181,8640367,MATRIZ,DICE INFORMATICA LTDA,SIM,9000
8671358000158,8671358,MATRIZ,DIGITAL UP - TECNOLOGIA EM SISTEMAS LTDA,SIM,500000
8682040000172,8682040,MATRIZ,O.S. SYSTEMS SOFTWARE LTDA,NAO,180000
8688030000144,8688030,MATRIZ,ARCT CONSULTORIA E TECNOLOGIA LTDA,NAO,1000
8698053000130,8698053,MATRIZ,"COOPERTI CONSULTORIA, SISTEMAS E SERVICOS LTDA",NAO,1000
8716906000119,8716906,MATRIZ,DUOPACTO CONSULTORIA E SISTEMAS LTDA,NAO,6000
8765613000121,8765613,MATRIZ,SOLUTTIONS - SOLUCAO EM TECNOLOGIA LTDA,NAO,481000
8851703000135,8851703,MATRIZ,RAF TELECOM LTDA,NAO,45000
8879628000110,8879628,MATRIZ,QUIRIUS SOLUCOES EM INFORMATICA LTDA,NAO,58781
8889601000109,8889601,MATRIZ,SETBOX INFORMATICA LTDA,NAO,3000
8944685000136,8944685,MATRIZ,HELOISA KARINA COSTA,NAO,5000
9008823000138,9008823,MATRIZ,FTI TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
9018845000189,9018845,MATRIZ,WEDOIT CONSULTORIA EM INFORMATICA LTDA.,NAO,4000
9044119000130,9044119,MATRIZ,AVA TECNOLOGIA LTDA,SIM,100000
9052375000170,9052375,MATRIZ,E-NET COMERCIO DE PRODUTOS E SERVICOS DE INFORMATICA LTDA,NAO,10000
9129117000144,9129117,MATRIZ,MACHINE LOCADORA LTDA,NAO,10000
9176594000160,9176594,MATRIZ,BECOMEX DIGITAL SERVICOS DE CONSULTORIA LTDA,NAO,100000
9200383000116,9200383,MATRIZ,SOUZA CONSULTORIA EM SOFTWARE LTDA,SIM,3000
9251361000185,9251361,MATRIZ,DB TECNOLOGIA DA INFORMACAO EIRELI,NAO,62200
9254750000164,9254750,MATRIZ,EASYBYTE INFORMATICA LTDA.,SIM,30000
9276267000180,9276267,MATRIZ,LB2 CONSULTORIA LTDA,NAO,2000
9276674000198,9276674,MATRIZ,EASYONE CONSULTORIA LTDA,NAO,70000
9311034000171,9311034,MATRIZ,FERNANDO OMAR SIMON MADERA,NAO,10000
9336130000174,9336130,MATRIZ,ENGELBERT & CIA. LTDA.,SIM,5000
9349805000110,9349805,MATRIZ,INDYXA SERVICOS E SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000
9395752000173,9395752,MATRIZ,ERKO BRIDEE DE ALMEIDA CABRERA,NAO,5000
9401653000157,9401653,MATRIZ,R.J.D. CONSULTORIA E TECNOLOGIA PARA NEGOCIOS LTDA,NAO,16666
9416343000106,9416343,MATRIZ,L. F. KASPRIK TECNOLOGIA DA INFORMACAO EIRELI,SIM,100000
9451699000180,9451699,MATRIZ,CONVISO APPLICATION SECURITY S/A,NAO,200000
9574379000118,9574379,MATRIZ,SMS SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,NAO,3000
9626129000184,9626129,MATRIZ,BJCIM DO BRASIL LTDA,NAO,5000
9653351000176,9653351,MATRIZ,JAMIL ALVES FONSECA,NAO,10000
9663609000115,9663609,MATRIZ,KNORST CONSULTORIA LTDA,NAO,5000
9666433000155,9666433,MATRIZ,VIEW CONSULTORIA EM INOVACAO LTDA,NAO,1000
10145201000130,10145201,MATRIZ,VASCO ALVES CONSULTORIA EM INFORMATICA LTDA,SIM,5000
10241629000187,10241629,MATRIZ,HABITAO EIRELI,SIM,93700
10292174000129,10292174,MATRIZ,PACIFIC CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,300000
10303632000188,10303632,MATRIZ,OCTARINE CONSULTORIA EM PROJETOS DIGITAIS LTDA,NAO,1000
10320392000120,10320392,MATRIZ,ATM SOLUCOES EM TECNOLOGIA LTDA,SIM,10000
10339359000141,10339359,MATRIZ,CONSULTI - CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
10348941000174,10348941,MATRIZ,LINCROS TECH SOLUCOES EM SOFTWARE EIRELI,NAO,1087732
10353834000134,10353834,MATRIZ,GE DIGITAL DO BRASIL SERVICOS EM INFORMATICA LTDA.,NAO,17000
10358750000193,10358750,MATRIZ,PROFITER TELECOM SERVICOS DE CONSULTORIA EM TELECOMUNICACOES LTDA,NAO,1000
10358880000126,10358880,MATRIZ,SERCOMPE SOLUCOES CORPORATIVAS E TECNOLOGICAS LTDA,NAO,10000
10374614000197,10374614,MATRIZ,G.V.S CONSULTORIA EM INFORMATICA LTDA,NAO,2000
10387465000109,10387465,MATRIZ,SERCOMPE SOLUCOES CORPORATIVAS E TECNOLOGICAS LTDA,NAO,10000
10394304000134,10394304,MATRIZ,FERNANDO DA SILVEIRA CONSULTORIA,NAO,1000
10414615000118,10414615,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA,NAO,1000000
10415575000129,10415575,MATRIZ,HR PROCESSAMENTO DE DADOS LTDA,NAO,45000
10436009000101,10436009,MATRIZ,MURA INFORMATICA LTDA,NAO,10000
10468447000143,10468447,MATRIZ,PRIME CONTROL CONSULTORIA LTDA,NAO,3091190
10469390000105,10469390,MATRIZ,BBP ADMINISTRADORA DE BENS IMOVEIS PROPRIOS LTDA,NAO,6000000
10472415000111,10472415,MATRIZ,BESTSOFT HARDWARE E LICENCIAMENTO DE SOFTWARE LTDA,SIM,10000
10483721000153,10483721,MATRIZ,CARVALHO JR CONSULTORIA LTDA,NAO,5000
10498651000107,10498651,MATRIZ,AFF - INFORMATICA LTDA.,NAO,3000
10509713000139,10509713,MATRIZ,MAXCOMPRA - CONSULTORIA EMPRESARIAL LTDA.,NAO,20000
10524406000127,10524406,MATRIZ,FLAVIO STEFFENS DE CASTRO,SIM,5000
10570173000107,10570173,MATRIZ,POLARIS PARTICIPACOES SOCIETARIAS LTDA,NAO,2250000
10634181000161,10634181,MATRIZ,DEI PRIORI CONSULTORIA EM TI E DESENVOLVIMENTO DE PROGRAMAS E JOGOS DE COMPUTADORES LTDA,NAO,2000
10655518000117,10655518,MATRIZ,ZIESEMER & CIA LTDA,SIM,10000
10657602000170,10657602,MATRIZ,CONTE SERVICOS DE INFORMATICA LTDA.,NAO,10000
10702854000173,10702854,MATRIZ,UPRIME SOFTWARE LTDA,SIM,5000
10721973000173,10721973,MATRIZ,VIBROACUSTICA DESENVOLVIMENTO E PESQUISA LTDA,NAO,20000
10732355000129,10732355,MATRIZ,PETRIKOR DESIGN GRAFICO LTDA,SIM,30000
10743066000125,10743066,MATRIZ,LIGHTHOUSE SOLUCOES EM INFORMATICA LTDA,NAO,4000
10778277000101,10778277,MATRIZ,TIAGO DA SILVA PRADO,NAO,50000
10780049000168,10780049,MATRIZ,SOLID CONSULTORIA E PROJETOS LTDA.,SIM,1000
10803704000156,10803704,MATRIZ,J. MARCHI ASSESSORIA EM ENGENHARIA E INFORMATICA LTDA,SIM,10000
10882234000163,10882234,MATRIZ,ELITE TRADER ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA,SIM,15000
10963516000195,10963516,MATRIZ,ALIZ CSE INFORMATICA S/A,NAO,1000
11023375000193,11023375,MATRIZ,BUSINESS SOLUTION SISTEMAS DE INFORMATICA LTDA,SIM,2000
11030542000123,11030542,MATRIZ,SANTOS & CARLESSO LTDA,SIM,30000
11036060000180,11036060,MATRIZ,H. F. CABRAL - EIRELI,SIM,100000
11038137000151,11038137,MATRIZ,GODZ GOVERNANCA E CONSULTORIA EMPRESARIAL LTDA,SIM,84400
11048655000156,11048655,MATRIZ,INTELLIGENT MARITIME SOLUTIONS CONSULTORIA LTDA,SIM,1000
11094781000147,11094781,MATRIZ,KRN CONSULTORIA E TECNOLOGIA LTDA,NAO,80000
11147517000124,11147517,MATRIZ,GIGACONSULT - CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA.,NAO,1500
11152463000195,11152463,MATRIZ,MK DO BRASIL CONSULTORIA EM TI LTDA,NAO,500000
11188017000130,11188017,MATRIZ,GESPLUS SOFTWARE LTDA,NAO,3000
11204307000120,11204307,MATRIZ,MOOVE.ON CONSULTORIA EM INOVACAO LTDA,NAO,20000
11209861000109,11209861,MATRIZ,GEOINFORMATION TECNOLOGIA LTDA,SIM,5000
11211970000152,11211970,MATRIZ,I 360 SOLUCOES PARA INTERACAO E COMUNICACAO CORPORATIVA LTDA,NAO,100000
11247373000188,11247373,MATRIZ,ARROBAINFO SOLUCOES EM INFORMATICA LTDA,SIM,30000
11381069000129,11381069,MATRIZ,JOAO ANTUNES RIBEIRO JUNIOR,SIM,10000
11482819000159,11482819,MATRIZ,DMX CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,104500
11492297000176,11492297,MATRIZ,VMMELLO CONSULTORIA E DESENVOLVIMENTO LTDA,NAO,3000
11527712000180,11527712,MATRIZ,INFOPOR INFORMATICA LTDA,SIM,4000
11564730000131,11564730,MATRIZ,IMAPS INTELLIGENCE LTDA,NAO,50000
11589018000197,11589018,MATRIZ,INTENTO LTDA,SIM,2000
11595710000128,11595710,MATRIZ,SHELTERIT SEGURANCA DIGITAL TRIBUTARIA S/A,NAO,300000
11595801000163,11595801,MATRIZ,ALIPRANDINI CONSULTORIA LTDA,NAO,20000
11738958000109,11738958,MATRIZ,DANIEL APARECIDO DE TOLEDO VIANA,SIM,10000
11851549000106,11851549,MATRIZ,EXPERT IT LTDA,NAO,5000
11902187000135,11902187,MATRIZ,INLINUX INFORMATICA LTDA,NAO,10000
11958556000101,11958556,MATRIZ,ASK CONSULTORIA E SISTEMAS LTDA,NAO,20000
12028803000133,12028803,MATRIZ,"VAR3F, CONSULTORIA INFORMATICA E SISTEMAS LTDA",NAO,50000
12231412000111,12231412,MATRIZ,VIRTUA VISION SYSTEMS EIRELI,NAO,80000
12324285000103,12324285,MATRIZ,HCM CONSULTING SERVICOS DE CONSULTORIA LTDA.,NAO,80000
12330337000146,12330337,MATRIZ,BEMACHI SORTEMOBIL SERVICOS DE INFORMATICA LTDA.,NAO,1200000
12350970000104,12350970,MATRIZ,EITI SOLUCOES DE TECNOLOGIA LTDA,NAO,85225
12405123000191,12405123,MATRIZ,PAULA FIGUEIREDO CONSULTORIA EM INFORMATICA LTDA,NAO,5000
12411222000186,12411222,MATRIZ,RICARDO COSTA CONSULTORIA EM INFORMATICA LTDA,NAO,5000
12794444000125,12794444,MATRIZ,HAG CONSULTORIA EM INFORMATICA LTDA,SIM,3000
12803041000103,12803041,MATRIZ,IXS TECNOLOGIA DA INFORMACAO LTDA,NAO,7625
12861549000150,12861549,MATRIZ,REIS & BERNARDES CONSULTORIA E REPRESENTACOES LTDA,NAO,10000
12957904000199,12957904,MATRIZ,ZERO OU UM NEGOCIOS DIGITAIS LTDA,SIM,40000
13095751000180,13095751,MATRIZ,F. ALMEIDA CONSULTORIA EMPRESARIAL LTDA,NAO,20000
13178989000170,13178989,MATRIZ,MULTI CONSULTORIA E TECNOLOGIA EIRELI,SIM,88000
13224486000193,13224486,MATRIZ,FUSION INFORMATICA LTDA,NAO,100000
13292648000120,13292648,MATRIZ,INCITE TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
