cnpj,bairro,municipio
11204307000120,MENINO DEUS,PORTO ALEGRE
11209861000109,NOVO MUNDO,CURITIBA
11211970000152,PATRIA NOVA,NOVO HAMBURGO
11247373000188,SERRANO,CAXIAS DO SUL
11381069000129,CENTRO,GUARAPUAVA
11482819000159,RIO BRANCO,PORTO ALEGRE
11492297000176,NOSSA SENHORA DAS GRACAS,CANOAS
11527712000180,MORADA DO SOL,MONDAI
11564730000131,AUXILIADORA,PORTO ALEGRE
11589018000197,FLORESTA,PORTO ALEGRE
11595710000128,CENTRO,NOVO HAMBURGO
11595801000163,CENTRO,XANXERE
11738958000109,CAMPO COMPRIDO,CURITIBA
11851549000106,THOMAZ COELHO,ARAUCARIA
11902187000135,XAXIM,CURITIBA
11958556000101,BOA VISTA,CURITIBA
12028803000133,CENTRO,CAMPO MOURAO
12231412000111,CENTRO,NOVA SANTA RITA
12324285000103,AMERICA,JOINVILLE
12330337000146,CENTRO,CURITIBA
12350970000104,AMERICA,JOINVILLE
12405123000191,IRIRIU,JOINVILLE
12411222000186,BUCAREIN,JOINVILLE
12794444000125,ATUBA,CURITIBA
12803041000103,CABRAL,CURITIBA
12861549000150,COSTA E SILVA,JOINVILLE
12957904000199,CENTRO,CURITIBA
13095751000180,CENTRO,PATO BRANCO
13178989000170,ITOUPAVA NORTE,BLUMENAU
13224486000193,HIGIENOPOLIS,PORTO ALEGRE
13292648000120,ANA NERY,SANTA CRUZ DO SUL
13394646000142,BUCAREIN,JOINVILLE
13599751000118,PARTENON,PORTO ALEGRE
13612744000109,CENTRO,GARIBALDI
13630506000126,PRAIA DE BELAS,PORTO ALEGRE
13809874000136,FORQUILHINHAS,SAO JOSE
13963659000195,JARDIM BOTANICO,PORTO ALEGRE
13976120000170,BIGORRILHO,CURITIBA
13994051000128,MERCES,CURITIBA
14056643000161,MERCES,CURITIBA
14063825000160,PETROPOLIS,PORTO ALEGRE
14136101000107,BOA VISTA,CURITIBA
14147860000167,PILARZINHO,CURITIBA
14220191000101,ITACORUBI,FLORIANOPOLIS
14371565000190,CIDADE BAIXA,PORTO ALEGRE
14456555000157,JARDIM DAS AMERICAS,CURITIBA
14470857000180,CENTRO,BLUMENAU
14513770000142,CENTRO CIVICO,CURITIBA
14533121000103,AMERICA,JOINVILLE
14557997000190,CENTRO,IMBITUBA
14686366000170,ITACORUBI,FLORIANOPOLIS
14699691000178,CABRAL,CURITIBA
14731086000137,CENTRO,NOVO HAMBURGO
14808197000102,NOSSA SENHORA DE LOURDES,SANTA MARIA
14816976000141,INDEPENDENCIA,PORTO ALEGRE
14822675000120,KOBRASOL,SAO JOSE
14911562000100,AREAL,PELOTAS
15005247000178,ANITA GARIBALDI,JOINVILLE
15077871000180,CENTRO,CANOAS
15083648000146,CENTRO,FLORIANOPOLIS
15111904000161,TRES FIGUEIRAS,PORTO ALEGRE
15251078000156,CENTRO,MARINGA
15313818000131,CENTRO,CURITIBA
15371741000156,BOA VISTA,PORTO ALEGRE
15399960000143,CIDADE ALTA,BENTO GONCALVES
15555098000110,CENTRO,SAO MARCOS
15793046000182,CANASVIEIRAS,FLORIANOPOLIS
16528380000171,EXPOSICAO,CAXIAS DO SUL
16539305000106,CENTRO,SAO LEOPOLDO
16584899000177,JARDIM BOTANICO,CURITIBA
16644671000125,TRINDADE,FLORIANOPOLIS
16800966000143,PILARZINHO,CURITIBA
16801310000145,ZONA INDUSTRIAL NORTE,JOINVILLE
16890759000127,PETROPOLIS,PORTO ALEGRE
16890793000100,SANTA CATARINA,BIGUACU
16997247000164,ITACORUBI,FLORIANOPOLIS
17011419000141,CENTRO,SAO BENTO DO SUL
17052172000101,CENTRO,TRES DE MAIO
17124582000110,BAIRRO ALTO,CURITIBA
17128605000165,SAO JOAO,PORTO ALEGRE
17283617000164,BATEL,CURITIBA
17437312000160,CENTRO,SAO JOAO BATISTA
17654009000119,CENTRO,CANOAS
17871176000111,CENTRO HISTORICO,PORTO ALEGRE
17915726000157,BATEL,CURITIBA
17948237000100,AUXILIADORA,PORTO ALEGRE
17949442000181,SAO FRANCISCO,CURITIBA
18173795000103,HUGO LANGE,CURITIBA
18319172000198,SACO GRANDE,FLORIANOPOLIS
18435752000140,RIO TAVARES,FLORIANOPOLIS
18615479000136,PETROPOLIS,PORTO ALEGRE
18630834000146,RIO BRANCO,PORTO ALEGRE
18771570000140,TRINDADE,FLORIANOPOLIS
18796297000109,SANTO ANTONIO,SAO JOSE DOS PINHAIS
18843171000148,SANVITTO,CAXIAS DO SUL
19021905000176,PRAIA DE BELAS,PORTO ALEGRE
19122334000166,CENTRO,CURITIBA
19196565000114,CRISTO REI,CURITIBA
19301105000109,CENTRO,CURITIBA
19387204000155,CENTRO,JATAIZINHO
19440549000125,TRINDADE,FLORIANOPOLIS
19688509000105,FAZENDA,ITAJAI
19716266000163,SUMARE,RIO DO SUL
19942131000116,JARDIM PANORAMA,ARAPONGAS
19967832000100,NOSSA SENHORA DE LOURDES,CAXIAS DO SUL
20007959000166,CENTRO,BALNEARIO CAMBORIU
20013675000182,CENTRO,DOIS VIZINHOS
20093970000196,MOINHOS DE VENTO,PORTO ALEGRE
20221014000142,CRISTO REI,CURITIBA
20375185000126,JARDIM TABAETE,MARINGA
20791217000174,RIO BRANCO,PORTO ALEGRE
20925274000107,CENTRO,PINHAIS
20945553000124,AMERICA,JOINVILLE
20980996000156,REBOUCAS,CURITIBA
21295146000181,HAUER,CURITIBA
21388085000105,REBOUCAS,CURITIBA
21423671000135,SANTA MONICA,FLORIANOPOLIS
21491167000172,CENTRO,PRESIDENTE GETULIO
21505378000117,IPANEMA,LONDRINA
21513996000109,FLORESTA,PORTO ALEGRE
21584489000166,CENTRO,PINHAIS
21682068000178,PRADO VELHO,CURITIBA
21728376000197,ITOUPAVAZINHA,BLUMENAU
21812398000130,BATEL,CURITIBA
21884232000120,AGUA VERDE,CURITIBA
21916782000183,JOAO PAULO,FLORIANOPOLIS
21932891000194,AREAL,PELOTAS
21935427000151,ITACORUBI,FLORIANOPOLIS
21969334000148,CENTRO,BALNEARIO CAMBORIU
21979785000166,CENTRO,SAO MATEUS DO SUL
22007582000170,CENTRO,QUEDAS DO IGUACU
22182361000139,CIDADE BAIXA,PORTO ALEGRE
22282839000100,ALTO TARUMA,PINHAIS
22370057000115,PRAIA DE BELAS,PORTO ALEGRE
22459999000174,CENTRO,CRICIUMA
22487718000197,CENTRO,ITAJAI
22516315000129,SAO FRANCISCO,CURITIBA
22546577000136,RIO BRANCO,CAXIAS DO SUL
22778608000184,VILA IZABEL,CURITIBA
22940419000166,TRINDADE,FLORIANOPOLIS
22981457000167,UNIVERSITARIO,LAJEADO
23065417000138,RIO BRANCO,PORTO ALEGRE
23068092000147,ZONA NOVA,CAPAO DA CANOA
23201941000199,SANTO ANTONIO DE PADUA,TUBARAO
23244090000161,UBERABA,CURITIBA
23316396000186,JARDIM ANAPOLIS,TOLEDO
23450854000175,CAJURU,CURITIBA
23468855000147,SAO LUIS,JARAGUA DO SUL
23507330000173,PROTASIO ALVES,PORTO ALEGRE
23516468000139,PRAIA DOS AMORES,BALNEARIO CAMBORIU
23595125000107,ESTREITO,FLORIANOPOLIS
23635781000196,CENTRO,CASCAVEL
23720406000144,CAJURU,CURITIBA
23773859000139,PROSPERA,CRICIUMA
24153353000190,CENTRO,FRANCISCO BELTRAO
24196301000109,CENTRO,CURITIBA
24232219000184,ESTREITO,FLORIANOPOLIS
24232254000101,CENTRO,NOVO HAMBURGO
24353595000127,ESTREITO,FLORIANOPOLIS
24362619000104,SAO CRISTOVAO,LAJEADO
24513991000174,CIDADE INDUSTRIAL,CURITIBA
24582772000147,ITAI,ELDORADO DO SUL
24586847000168,VILA IZABEL,CURITIBA
24608207000101,MEIA PRAIA,ITAPEMA
24642438000131,BATEL,CURITIBA
24642661000189,CENTRO,SAPUCAIA DO SUL
24688226000195,ZONA 01,MARINGA
24762992000152,BATEL,CURITIBA
24980717000105,VILA CARNELOS,MANDAGUACU
25239083000105,BIGORRILHO,CURITIBA
25245543000108,CENTRO,FRANCISCO BELTRAO
25275126000108,RIO BRANCO,CAXIAS DO SUL
25275641000180,CENTRO,SARANDI
25285557000147,XAXIM,CURITIBA
25327802000131,MENINO DEUS,PORTO ALEGRE
25341444000111,JUVEVE,CURITIBA
25420887000106,CENTRO,TOLEDO
25533119000150,CAMOBI,SANTA MARIA
26114425000115,CENTRO,BALNEARIO CAMBORIU
26116642000144,HIGIENOPOLIS,PORTO ALEGRE
26126319000151,SAO CRISTOVAO,LAJEADO
26181064000120,HEDY,LONDRINA
26214713000141,AGUA VERDE,CURITIBA
26225132000105,INDEPENDENCIA,PORTO ALEGRE
26252461000145,ALTO DA RUA XV,CURITIBA
26263353000178,GUARUJA,PORTO ALEGRE
26294369000148,GLEBA FAZENDA PALHANO,LONDRINA
26346174000102,SACO GRANDE,FLORIANOPOLIS
26468924000100,CRISTO REI,SAO LEOPOLDO
26469808000106,JARDIM TOQUIO,MARINGA
26481766000129,LAGOA DA CONCEICAO,FLORIANOPOLIS
26683997000115,PROTASIO ALVES,PORTO ALEGRE
26686159000103,LOMBA DO PINHEIRO,PORTO ALEGRE
26756002000107,CENTRO,BAGE
26771369000191,ZONA 07,MARINGA
26893432000162,PEDRA BRANCA,PALHOCA
26960108000110,SAO BRAZ,CURITIBA
27003628000105,PORTAL DA SERRA,DOIS IRMAOS
27090363000111,BIGORRILHO,CURITIBA
27100089000114,PE EDUARDO,TAIO
27106994000181,SAO BERNARDO,UNIAO DA VITORIA
27112738000105,BAIRRO ALTO,CURITIBA
27299019000137,NAVEGANTES,PORTO ALEGRE
27372850000177,AMERICA,JOINVILLE
27438836000129,SACO GRANDE,FLORIANOPOLIS
27456547000152,FANNY,CURITIBA
27481416000125,PASSO DA AREIA,PORTO ALEGRE
27483628000141,CRISTO REI,SAO LEOPOLDO
27649569000139,CAJURU,CURITIBA
27667548000146,PRADO VELHO,CURITIBA
27702054000155,ALTO DA RUA XV,CURITIBA
27770937000100,BIGORRILHO,CURITIBA
27908845000136,VELHA,BLUMENAU
27982288000101,FRARON,PATO BRANCO
28027289000151,SAO JOSE,PORTO ALEGRE
28027477000180,PETROPOLIS,PORTO ALEGRE
28031071000170,CENTRO CIVICO,CURITIBA
28082914000168,CABRAL,CURITIBA
28218561000180,MOINHOS DE VENTO,PORTO ALEGRE
28232830000163,CENTRO,ITAJAI
28241746000106,SANTA BARBARA,CRICIUMA
28254301000160,AHU,CURITIBA
28336299000179,FLORESTA,PORTO ALEGRE
28340957000104,PETROPOLIS,PORTO ALEGRE
28341460000100,CENTRO HISTORICO,PORTO ALEGRE
28371547000112,SACO GRANDE,FLORIANOPOLIS
28396501000158,JARDIM PAULISTA,CAMPINA GRANDE DO SUL
28494539000163,CENTRO HISTORICO,PORTO ALEGRE
28517714000190,JARDIM ITALIA II,MARINGA
28888367000102,UBERABA,CURITIBA
28946642000105,BATEL,CURITIBA
29030375000186,POPULAR LAGES,LAGES
29040042000138,CENTRO,CHAPECO
29069537000190,NOVA RUSSIA,PONTA GROSSA
29116537000101,BALNARIO FLORIDA,MATINHOS
29152144000145,IGARA,CANOAS
29190191000183,JARAGUA ESQUERDO,JARAGUA DO SUL
29230277000192,JARDIM SAO PEDRO,PORTO ALEGRE
29302309000118,BAIRRO ALTO,CURITIBA
29309746000163,CENTRO,CURITIBA
29432024000100,JARDIM DAS AMERICAS,CURITIBA
29472136000186,BATEL,CURITIBA
29488065000100,CENTRO,PAROBE
29496699000104,PORTAO,CURITIBA
29636554000161,CRISTO REI,CURITIBA
29653583000131,RIO BRANCO,NOVO HAMBURGO
29667108000114,HUMAITA,PORTO ALEGRE
29723917000104,CENTRO,FLORIANOPOLIS
29751722000160,CENTRO,BIGUACU
29753819000101,JOAO PAULO,FLORIANOPOLIS
29766130000111,ALPHAVILLE GRACIOSA,PINHAIS
29814528000186,XAXIM,CURITIBA
29826123000168,CENTRO,CURITIBA
29829507000134,SANTO ANTONIO,JOINVILLE
29832432000140,ESTREITO,FLORIANOPOLIS
29840265000180,AHU,CURITIBA
29890481000130,REBOUCAS,CURITIBA
29915283000183,CIDADE INDUSTRIAL,CURITIBA
29920323000185,VILA IPIRANGA,PORTO ALEGRE
29920563000180,PASSO DA AREIA,PORTO ALEGRE
30025695000127,BOM RETIRO,JOINVILLE
30033125000189,CAMPINA DO SIQUEIRA,CURITIBA
30043931000138,NOVA DIVINEIA,ARARANGUA
30107695000176,CIDADE BAIXA,PORTO ALEGRE
30120829000199,CAMPINAS,SAO JOSE
30142925000138,REBOUCAS,CURITIBA
30148342000114,JOAO PAULO,FLORIANOPOLIS
30280646000130,SAO PAULO,MONTENEGRO
30281605000169,AGUA VERDE,CURITIBA
30303839000160,BOM RETIRO,JOINVILLE
30310764000144,RIO BRANCO,PORTO ALEGRE
30339718000178,LOTEAMENTO JARDIM TIMBAUVA,GRAVATAI
30351627000158,SITIO CERCADO,CURITIBA
30517691000166,JARDIM DAS AMERICAS,CURITIBA
30537374000101,CAMPINAS,SAO JOSE
30568793000100,CENTRO HISTORICO,PORTO ALEGRE
30580414000106,CRISTAL,PORTO ALEGRE
30607379000163,CRISTO REI,CURITIBA
30677270000100,JUVEVE,CURITIBA
30750260000145,SACO GRANDE,FLORIANOPOLIS
30816395000166,SANTA TEREZINHA,BRUSQUE
30863642000185,ZONA INDUSTRIAL NORTE,JOINVILLE
30920180000190,UBERABA,CURITIBA
30935151000100,BOA VISTA,CURITIBA
30974259000102,CENTRO,CURITIBA
30975075000159,SANTA BARBARA,CRICIUMA
31041904000199,MERCES,CURITIBA
31079657000110,BATEL,CURITIBA
31092609000161,ALPHAVILLE GRACIOSA,PINHAIS
31111152000195,AGUA VERDE,CURITIBA
31137926000157,CENTRO,MORRO REUTER
31160141000103,ALTO DA RUA XV,CURITIBA
31168095000180,CENTRO,CURITIBA
31233387000150,JARDIM LEOPOLDINA,PORTO ALEGRE
31264122000119,AGUA VERDE,CURITIBA
31289053000106,JARDIM LANCASTER II,FOZ DO IGUACU
31304385000104,JARDIM AMERICA,CAXIAS DO SUL
31417599000197,SAO JOSE,PASSO FUNDO
31436767000191,RIO BRANCO,CANOAS
31452043000131,CENTRO,NOVO HAMBURGO
31554667000160,VILA SAO JOSE,PORTO ALEGRE
31569523000187,CRISTAL,PORTO ALEGRE
31615060000142,AGUA VERDE,CURITIBA
31625732000109,VILA CACHOEIRINHA,CACHOEIRINHA
31627865000106,AUXILIADORA,PORTO ALEGRE
31721284000139,CENTRO,CASCAVEL
31764349000123,TRINDADE,FLORIANOPOLIS
31881132000101,VILA FRANCA,PIRAQUARA
31974922000123,BELA VISTA,SAO SEPE
32089832000112,VILA IZABEL,CURITIBA
32116856000113,JARDIM DO SALSO,PORTO ALEGRE
32161647000191,PINHEIRINHO,CURITIBA
32177085000174,MOSSUNGUE,CURITIBA
32214357000169,VILA IZABEL,CURITIBA
32244389000107,COQUEIRAL,CASCAVEL
32333203000196,AFONSO PENA,SAO JOSE DOS PINHAIS
32340117000100,REBOUCAS,CURITIBA
32340240000121,REBOUCAS,CURITIBA
32416966000109,SANTO ANTONIO,PORTO ALEGRE
32477752000134,AREAL,PELOTAS
32494446000106,ALTO DA RUA XV,CURITIBA
32509849000181,SAO BRAZ,CURITIBA
32548626000123,DISTRITO INDUSTRIAL,FAXINAL DO SOTURNO
32568380000151,BUCAREIN,JOINVILLE
32844773000140,CENTRO,GUARAMIRIM
32901739000160,GUARITUBA,PIRAQUARA
32947076000115,RIO BRANCO,PORTO ALEGRE
33041999000176,GUABIROTUBA,CURITIBA
33067005000190,CENTRO,SANTA CRUZ DO SUL
33079420000164,SACO GRANDE,FLORIANOPOLIS
33145309000129,CENTRO,SANTA MARIA
33221091000144,CENTRO,JOINVILLE
33301348000178,CENTRO,BALNEARIO CAMBORIU
33332029000120,CAMPO COMPRIDO,CURITIBA
33389754000134,AUXILIADORA,PORTO ALEGRE
33427638000162,JARDIM HIGIENOPOLIS,LONDRINA
33454191000110,CENTRO,CURITIBA
33468050000157,RIO BRANCO,PORTO ALEGRE
33639035000124,CENTRO,SAO JERONIMO
33665328000186,BOA VISTA,CURITIBA
